거래일,종목명,거래수량,환율,거래금액,수수료,유가잔고,잔액,상대계좌,
거래종류,잔고번호,거래단가,외환잔액,정산금액,거래세,세금,부가세,접속매체,
2024.1.11,,0,0,1,0,0,1,,
Smart+계좌개설(ISA중개형)자동입금,,0,0,1,0,0,0,스마트폰,
2024.3.11,,0,0,"2,000,000",0,0,"2,000,001",서동환　　　　　　　 37391001971904 서동환,
타사이체입금,,0,0,"2,000,000",0,0,0,대외기관,
2024.3.13,TIGER 미국달러SOFR금리액티브(합성),28,0,"1,436,510",60,28,"563,431",,
Smart+거래소주식매수,,"51,303",0,"1,436,570",0,0,0,스마트폰,
2024.3.15,TIGER 미국달러SOFR금리액티브(합성),2,0,"102,350",4,30,"461,077",,
Smart+거래소주식매수,,"51,175",0,"102,354",0,0,0,스마트폰,
2024.3.18,KODEX KOFR금리액티브(합성),18,0,"1,910,430",80,18,"-1,449,433",,
Smart+거래소주식매수,,"106,135",0,"461,077",0,0,0,스마트폰,
2024.3.18,TIGER 미국달러SOFR금리액티브(합성),30,0,"1,543,880",64,0,"94,383",,
Smart+거래소주식매도,,"51,462",0,"94,383",0,0,0,스마트폰,
2024.3.25,KBSTAR 미국채30년엔화노출(합성 H),10,0,"88,700",3,10,"5,680",,
Smart+거래소주식매수,,"8,870",0,"88,703",0,0,0,스마트폰,
2024.3.25,KODEX KOFR금리액티브(합성),18,0,"1,911,600",80,0,"1,917,200",,
Smart+거래소주식매도,,"106,200",0,"1,911,520",0,0,0,스마트폰,
2024.3.25,,0,0,"1,000,000",0,0,"2,917,200",서동환　　　　　　　 37391001971904 서동환,
타사이체입금,,0,0,"1,000,000",0,0,0,대외기관,
2024.3.26,KODEX KOFR금리액티브(합성),17,0,"1,805,740",75,17,"1,111,385",,
Smart+거래소주식매수,,"106,220",0,"1,805,815",0,0,0,스마트폰,
2024.3.27,KBSTAR 미국채30년엔화노출(합성 H),10,0,"91,050",3,0,"1,202,432",,
Smart+거래소주식매도,,"9,105",0,"91,047",0,0,0,스마트폰,
2024.3.28,,0,0,"1,000,000",0,0,"2,202,432",서동환　　　　　　　 37391001971904 서동환,
타사이체입금,,0,0,"1,000,000",0,0,0,대외기관,
2024.3.29,,0,0,"1,000,000",0,0,"3,202,432",서동환　　　　　　　 92891000762107 서동환,
타사이체입금,,0,0,"1,000,000",0,0,0,대외기관,
2024.3.29,,0,0,"1,000,000",0,0,"4,202,432",서동환　　　　　　　 37391001971904 서동환,
타사이체입금,,0,0,"1,000,000",0,0,0,대외기관,
2024.4.1,TIGER 미국달러단기채권액티브,30,0,"355,750",14,30,"3,846,668",,
Smart+거래소주식매수,,"11,858",0,"355,764",0,0,0,스마트폰,
2024.4.1,KODEX KOFR금리액티브(합성),11,0,"1,168,915",49,28,"2,677,704",,
Smart+거래소주식매수,,"106,265",0,"1,168,964",0,0,0,스마트폰,
2024.4.1,TIGER 미국나스닥100커버드콜(합성),15,0,"156,225",6,15,"2,521,473",,
Smart+거래소주식매수,,"10,415",0,"156,231",0,0,0,스마트폰,
2024.4.1,SOL 미국30년국채커버드콜(합성),50,0,"505,500",21,50,"2,015,952",,
Smart+거래소주식매수,,"10,110",0,"505,521",0,0,0,스마트폰,
2024.4.2,TIGER 미국달러단기채권액티브,20,0,"237,850",10,50,"1,778,092",,
Smart+거래소주식매수,,"11,892",0,"237,860",0,0,0,스마트폰,
2024.4.2,KODEX KOFR금리액티브(합성),5,0,"531,475",22,23,"2,309,545",,
Smart+거래소주식매도,,"106,295",0,"531,453",0,0,0,스마트폰,
2024.4.2,TIGER 미국나스닥100커버드콜(합성),10,0,"104,450",4,5,"2,413,991",,
Smart+거래소주식매도,,"10,445",0,"104,446",0,0,0,스마트폰,
2024.4.3,TIGER Fn반도체TOP10,2,0,"27,070",1,2,"2,386,920",,
Smart+거래소주식매수,,"13,535",0,"27,071",0,0,0,스마트폰,
2024.4.3,KODEX KOFR금리액티브(합성),22,0,"2,338,930",98,45,"47,892",,
Smart+거래소주식매수,,"106,315",0,"2,339,028",0,0,0,스마트폰,
2024.4.4,SOL 미국30년국채커버드콜(합성),160,0,"1,604,200",67,210,"-1,556,375",,
Smart+거래소주식매수,,"10,026",0,"47,892",0,0,0,스마트폰,
2024.4.4,KODEX KOFR금리액티브(합성),15,0,"1,594,725",67,30,"38,283",,
Smart+거래소주식매도,,"106,315",0,"38,283",0,0,0,스마트폰,
2024.4.4,,0,0,"1,000,000",0,0,"1,038,283",서동환　　　　　　　 37391001971904 서동환,
타사이체입금,,0,0,"1,000,000",0,0,0,대외기관,
2024.4.5,TIGER 미국달러단기채권액티브,10,0,"119,200",5,60,"919,078",,
Smart+거래소주식매수,,"11,920",0,"119,205",0,0,0,스마트폰,
2024.4.5,SOL 미국30년국채커버드콜(합성),223,0,"2,213,575",93,433,"-1,294,590",,
Smart+거래소주식매수,,"9,926",0,"919,078",0,0,0,스마트폰,
2024.4.5,KODEX KOFR금리액티브(합성),30,0,"3,189,750",134,0,"1,895,026",,
Smart+거래소주식매도,,"106,325",0,"1,895,026",0,0,0,스마트폰,
2024.4.8,SOL 미국30년국채커버드콜(합성),100,0,"990,050",41,533,"904,935",,
Smart+거래소주식매수,,"9,900",0,"990,091",0,0,0,스마트폰,
2024.4.9,TIGER Fn반도체TOP10,2,0,"26,710",1,4,"878,224",,
Smart+거래소주식매수,,"13,355",0,"26,711",0,0,0,스마트폰,
2024.4.9,SOL 미국30년국채커버드콜(합성),220,0,"2,199,500",92,313,"3,077,632",,
Smart+거래소주식매도,,"9,997",0,"2,199,408",0,0,0,스마트폰,
2024.4.11,SOL 미국30년국채커버드콜(합성),150,0,"1,483,400",62,463,"1,594,170",,
Smart+거래소주식매수,,"9,889",0,"1,483,462",0,0,0,스마트폰,
2024.4.11,TIGER 미국달러단기채권액티브,60,0,"717,000",30,0,"2,311,140",,
Smart+거래소주식매도,,"11,950",0,"716,970",0,0,0,스마트폰,
2024.4.11,TIGER Fn반도체TOP10,4,0,"54,240",2,0,"2,365,378",,
Smart+거래소주식매도,,"13,560",0,"54,238",0,0,0,스마트폰,
2024.4.11,TIGER 미국나스닥100커버드콜(합성),5,0,"52,225",2,0,"2,417,601",,
Smart+거래소주식매도,,"10,445",0,"52,223",0,0,0,스마트폰,
